"journal","pubYear","n","N","N.year.overall","N.percent","years_avail"
"Reflections: Narratives of Professional Helping","2011","1",25,32,78.125,4
"Reflections: Narratives of Professional Helping","2011","2",5,32,15.625,4
"Reflections: Narratives of Professional Helping","2011","3",1,32,3.125,4
"Reflections: Narratives of Professional Helping","2011","4+",1,32,3.125,4
"Reflections: Narratives of Professional Helping","2012","1",26,37,70.2702702702703,4
"Reflections: Narratives of Professional Helping","2012","2",5,37,13.5135135135135,4
"Reflections: Narratives of Professional Helping","2012","3",4,37,10.8108108108108,4
"Reflections: Narratives of Professional Helping","2012","4+",2,37,5.40540540540541,4
"Reflections: Narratives of Professional Helping","2013","1",2,4,50,3
"Reflections: Narratives of Professional Helping","2013","2",1,4,25,3
"Reflections: Narratives of Professional Helping","2013","4+",1,4,25,3
"Research on Social Work Practice","1991","1",14,23,60.8695652173913,4
"Research on Social Work Practice","1991","2",7,23,30.4347826086957,4
"Research on Social Work Practice","1991","3",1,23,4.34782608695652,4
"Research on Social Work Practice","1991","4+",1,23,4.34782608695652,4
"Research on Social Work Practice","1992","1",17,34,50,4
"Research on Social Work Practice","1992","2",6,34,17.6470588235294,4
"Research on Social Work Practice","1992","3",7,34,20.5882352941176,4
"Research on Social Work Practice","1992","4+",4,34,11.7647058823529,4
"Research on Social Work Practice","1993","1",11,27,40.7407407407407,4
"Research on Social Work Practice","1993","2",11,27,40.7407407407407,4
"Research on Social Work Practice","1993","3",3,27,11.1111111111111,4
"Research on Social Work Practice","1993","4+",2,27,7.40740740740741,4
"Research on Social Work Practice","1994","1",17,35,48.5714285714286,4
"Research on Social Work Practice","1994","2",11,35,31.4285714285714,4
"Research on Social Work Practice","1994","3",5,35,14.2857142857143,4
"Research on Social Work Practice","1994","4+",2,35,5.71428571428571,4
"Research on Social Work Practice","1995","1",8,29,27.5862068965517,4
"Research on Social Work Practice","1995","2",13,29,44.8275862068966,4
"Research on Social Work Practice","1995","3",6,29,20.6896551724138,4
"Research on Social Work Practice","1995","4+",2,29,6.89655172413793,4
"Research on Social Work Practice","1996","1",15,35,42.8571428571429,4
"Research on Social Work Practice","1996","2",12,35,34.2857142857143,4
"Research on Social Work Practice","1996","3",3,35,8.57142857142857,4
"Research on Social Work Practice","1996","4+",5,35,14.2857142857143,4
"Research on Social Work Practice","1997","1",9,29,31.0344827586207,4
"Research on Social Work Practice","1997","2",7,29,24.1379310344828,4
"Research on Social Work Practice","1997","3",7,29,24.1379310344828,4
"Research on Social Work Practice","1997","4+",6,29,20.6896551724138,4
"Research on Social Work Practice","1998","1",15,42,35.7142857142857,4
"Research on Social Work Practice","1998","2",12,42,28.5714285714286,4
"Research on Social Work Practice","1998","3",10,42,23.8095238095238,4
"Research on Social Work Practice","1998","4+",5,42,11.9047619047619,4
"Research on Social Work Practice","1999","1",25,49,51.0204081632653,4
"Research on Social Work Practice","1999","2",12,49,24.4897959183673,4
"Research on Social Work Practice","1999","3",6,49,12.2448979591837,4
"Research on Social Work Practice","1999","4+",6,49,12.2448979591837,4
"Research on Social Work Practice","2000","1",16,43,37.2093023255814,4
"Research on Social Work Practice","2000","2",16,43,37.2093023255814,4
"Research on Social Work Practice","2000","3",5,43,11.6279069767442,4
"Research on Social Work Practice","2000","4+",6,43,13.953488372093,4
"Research on Social Work Practice","2001","1",19,42,45.2380952380952,4
"Research on Social Work Practice","2001","2",9,42,21.4285714285714,4
"Research on Social Work Practice","2001","3",10,42,23.8095238095238,4
"Research on Social Work Practice","2001","4+",4,42,9.52380952380952,4
"Research on Social Work Practice","2002","1",8,48,16.6666666666667,4
"Research on Social Work Practice","2002","2",11,48,22.9166666666667,4
"Research on Social Work Practice","2002","3",18,48,37.5,4
"Research on Social Work Practice","2002","4+",11,48,22.9166666666667,4
"Research on Social Work Practice","2003","1",15,39,38.4615384615385,4
"Research on Social Work Practice","2003","2",11,39,28.2051282051282,4
"Research on Social Work Practice","2003","3",8,39,20.5128205128205,4
"Research on Social Work Practice","2003","4+",5,39,12.8205128205128,4
"Research on Social Work Practice","2004","1",14,46,30.4347826086957,4
"Research on Social Work Practice","2004","2",11,46,23.9130434782609,4
"Research on Social Work Practice","2004","3",13,46,28.2608695652174,4
"Research on Social Work Practice","2004","4+",8,46,17.3913043478261,4
"Research on Social Work Practice","2005","1",11,48,22.9166666666667,4
"Research on Social Work Practice","2005","2",19,48,39.5833333333333,4
"Research on Social Work Practice","2005","3",8,48,16.6666666666667,4
"Research on Social Work Practice","2005","4+",10,48,20.8333333333333,4
"Research on Social Work Practice","2006","1",18,50,36,4
"Research on Social Work Practice","2006","2",19,50,38,4
"Research on Social Work Practice","2006","3",9,50,18,4
"Research on Social Work Practice","2006","4+",4,50,8,4
"Research on Social Work Practice","2007","1",17,63,26.984126984127,4
"Research on Social Work Practice","2007","2",19,63,30.1587301587302,4
"Research on Social Work Practice","2007","3",12,63,19.047619047619,4
"Research on Social Work Practice","2007","4+",15,63,23.8095238095238,4
"Research on Social Work Practice","2008","1",12,57,21.0526315789474,4
"Research on Social Work Practice","2008","2",14,57,24.5614035087719,4
"Research on Social Work Practice","2008","3",11,57,19.2982456140351,4
"Research on Social Work Practice","2008","4+",20,57,35.0877192982456,4
"Research on Social Work Practice","2009","1",17,68,25,4
"Research on Social Work Practice","2009","2",17,68,25,4
"Research on Social Work Practice","2009","3",16,68,23.5294117647059,4
"Research on Social Work Practice","2009","4+",18,68,26.4705882352941,4
"Research on Social Work Practice","2010","1",14,61,22.9508196721311,4
"Research on Social Work Practice","2010","2",16,61,26.2295081967213,4
"Research on Social Work Practice","2010","3",14,61,22.9508196721311,4
"Research on Social Work Practice","2010","4+",17,61,27.8688524590164,4
"Research on Social Work Practice","2011","1",8,60,13.3333333333333,4
"Research on Social Work Practice","2011","2",21,60,35,4
"Research on Social Work Practice","2011","3",9,60,15,4
"Research on Social Work Practice","2011","4+",22,60,36.6666666666667,4
"Research on Social Work Practice","2012","1",15,66,22.7272727272727,4
"Research on Social Work Practice","2012","2",20,66,30.3030303030303,4
"Research on Social Work Practice","2012","3",16,66,24.2424242424242,4
"Research on Social Work Practice","2012","4+",15,66,22.7272727272727,4
"Research on Social Work Practice","2013","1",5,60,8.33333333333333,4
"Research on Social Work Practice","2013","2",18,60,30,4
"Research on Social Work Practice","2013","3",5,60,8.33333333333333,4
"Research on Social Work Practice","2013","4+",32,60,53.3333333333333,4
"Rural Social Work","2000","1",1,2,50,2
"Rural Social Work","2000","2",1,2,50,2
"Rural Social Work","2001","1",8,12,66.6666666666667,3
"Rural Social Work","2001","2",3,12,25,3
"Rural Social Work","2001","3",1,12,8.33333333333333,3
"Rural Social Work","2002","1",3,9,33.3333333333333,3
"Rural Social Work","2002","2",4,9,44.4444444444444,3
"Rural Social Work","2002","3",2,9,22.2222222222222,3
"Rural Social Work","2003","1",7,9,77.7777777777778,3
"Rural Social Work","2003","2",1,9,11.1111111111111,3
"Rural Social Work","2003","3",1,9,11.1111111111111,3
"Rural Social Work","2004","1",8,26,30.7692307692308,4
"Rural Social Work","2004","2",11,26,42.3076923076923,4
"Rural Social Work","2004","3",2,26,7.69230769230769,4
"Rural Social Work","2004","4+",5,26,19.2307692307692,4
"Rural Social Work & Community Practice","2005","1",4,6,66.6666666666667,3
"Rural Social Work & Community Practice","2005","2",1,6,16.6666666666667,3
"Rural Social Work & Community Practice","2005","3",1,6,16.6666666666667,3
"Rural Social Work & Community Practice","2006","1",4,9,44.4444444444444,4
"Rural Social Work & Community Practice","2006","2",3,9,33.3333333333333,4
"Rural Social Work & Community Practice","2006","3",1,9,11.1111111111111,4
"Rural Social Work & Community Practice","2006","4+",1,9,11.1111111111111,4
"Rural Social Work & Community Practice","2007","1",2,4,50,2
"Rural Social Work & Community Practice","2007","3",2,4,50,2
"Rural Social Work & Community Practice","2008","1",4,8,50,4
"Rural Social Work & Community Practice","2008","2",1,8,12.5,4
"Rural Social Work & Community Practice","2008","3",1,8,12.5,4
"Rural Social Work & Community Practice","2008","4+",2,8,25,4
"Rural Social Work & Community Practice","2009","1",8,12,66.6666666666667,3
"Rural Social Work & Community Practice","2009","2",1,12,8.33333333333333,3
"Rural Social Work & Community Practice","2009","3",3,12,25,3
"School Social Work Journal","1991","1",1,1,100,1
"School Social Work Journal","2002","1",2,5,40,3
"School Social Work Journal","2002","2",2,5,40,3
"School Social Work Journal","2002","3",1,5,20,3
"School Social Work Journal","2003","1",3,10,30,4
"School Social Work Journal","2003","2",5,10,50,4
"School Social Work Journal","2003","3",1,10,10,4
"School Social Work Journal","2003","4+",1,10,10,4
"School Social Work Journal","2004","1",4,11,36.3636363636364,3
"School Social Work Journal","2004","2",6,11,54.5454545454545,3
"School Social Work Journal","2004","3",1,11,9.09090909090909,3
"School Social Work Journal","2005","1",5,13,38.4615384615385,4
"School Social Work Journal","2005","2",5,13,38.4615384615385,4
"School Social Work Journal","2005","3",1,13,7.69230769230769,4
"School Social Work Journal","2005","4+",2,13,15.3846153846154,4
"School Social Work Journal","2006","1",9,20,45,4
"School Social Work Journal","2006","2",6,20,30,4
"School Social Work Journal","2006","3",4,20,20,4
"School Social Work Journal","2006","4+",1,20,5,4
"School Social Work Journal","2007","1",4,12,33.3333333333333,4
"School Social Work Journal","2007","2",4,12,33.3333333333333,4
"School Social Work Journal","2007","3",2,12,16.6666666666667,4
"School Social Work Journal","2007","4+",2,12,16.6666666666667,4
"School Social Work Journal","2008","1",5,12,41.6666666666667,4
"School Social Work Journal","2008","2",4,12,33.3333333333333,4
"School Social Work Journal","2008","3",2,12,16.6666666666667,4
"School Social Work Journal","2008","4+",1,12,8.33333333333333,4
"School Social Work Journal","2009","1",1,12,8.33333333333333,4
"School Social Work Journal","2009","2",5,12,41.6666666666667,4
"School Social Work Journal","2009","3",4,12,33.3333333333333,4
"School Social Work Journal","2009","4+",2,12,16.6666666666667,4
"School Social Work Journal","2010","1",3,12,25,4
"School Social Work Journal","2010","2",3,12,25,4
"School Social Work Journal","2010","3",3,12,25,4
"School Social Work Journal","2010","4+",3,12,25,4
"School Social Work Journal","2011","1",3,11,27.2727272727273,4
"School Social Work Journal","2011","2",2,11,18.1818181818182,4
"School Social Work Journal","2011","3",5,11,45.4545454545455,4
"School Social Work Journal","2011","4+",1,11,9.09090909090909,4
"School Social Work Journal","2012","1",3,13,23.0769230769231,4
"School Social Work Journal","2012","2",2,13,15.3846153846154,4
"School Social Work Journal","2012","3",7,13,53.8461538461538,4
"School Social Work Journal","2012","4+",1,13,7.69230769230769,4
"School Social Work Journal","2013","1",4,11,36.3636363636364,3
"School Social Work Journal","2013","2",3,11,27.2727272727273,3
"School Social Work Journal","2013","3",4,11,36.3636363636364,3
"Smith College Studies in Social Work","1989","1",11,12,91.6666666666667,2
"Smith College Studies in Social Work","1989","3",1,12,8.33333333333333,2
"Smith College Studies in Social Work","1990","1",13,14,92.8571428571429,2
"Smith College Studies in Social Work","1990","2",1,14,7.14285714285714,2
"Smith College Studies in Social Work","1991","1",12,13,92.3076923076923,2
"Smith College Studies in Social Work","1991","2",1,13,7.69230769230769,2
"Smith College Studies in Social Work","1992","1",10,11,90.9090909090909,2
"Smith College Studies in Social Work","1992","2",1,11,9.09090909090909,2
"Smith College Studies in Social Work","1993","1",11,16,68.75,4
"Smith College Studies in Social Work","1993","2",2,16,12.5,4
"Smith College Studies in Social Work","1993","3",1,16,6.25,4
"Smith College Studies in Social Work","1993","4+",2,16,12.5,4
"Smith College Studies in Social Work","1994","1",11,11,100,1
"Smith College Studies in Social Work","1995","1",7,9,77.7777777777778,3
"Smith College Studies in Social Work","1995","2",1,9,11.1111111111111,3
"Smith College Studies in Social Work","1995","3",1,9,11.1111111111111,3
"Smith College Studies in Social Work","1996","1",16,19,84.2105263157895,2
"Smith College Studies in Social Work","1996","2",3,19,15.7894736842105,2
"Smith College Studies in Social Work","1997","1",23,28,82.1428571428571,4
"Smith College Studies in Social Work","1997","2",2,28,7.14285714285714,4
"Smith College Studies in Social Work","1997","3",1,28,3.57142857142857,4
"Smith College Studies in Social Work","1997","4+",2,28,7.14285714285714,4
"Smith College Studies in Social Work","1998","1",15,17,88.2352941176471,2
"Smith College Studies in Social Work","1998","2",2,17,11.7647058823529,2
"Smith College Studies in Social Work","1999","1",24,26,92.3076923076923,2
"Smith College Studies in Social Work","1999","2",2,26,7.69230769230769,2
"Smith College Studies in Social Work","2000","1",18,23,78.2608695652174,4
"Smith College Studies in Social Work","2000","2",3,23,13.0434782608696,4
"Smith College Studies in Social Work","2000","3",1,23,4.34782608695652,4
"Smith College Studies in Social Work","2000","4+",1,23,4.34782608695652,4
"Smith College Studies in Social Work","2001","1",19,27,70.3703703703704,4
"Smith College Studies in Social Work","2001","2",2,27,7.40740740740741,4
"Smith College Studies in Social Work","2001","3",4,27,14.8148148148148,4
"Smith College Studies in Social Work","2001","4+",2,27,7.40740740740741,4
"Smith College Studies in Social Work","2002","1",9,17,52.9411764705882,4
"Smith College Studies in Social Work","2002","2",4,17,23.5294117647059,4
"Smith College Studies in Social Work","2002","3",3,17,17.6470588235294,4
"Smith College Studies in Social Work","2002","4+",1,17,5.88235294117647,4
"Smith College Studies in Social Work","2003","1",21,24,87.5,2
"Smith College Studies in Social Work","2003","2",3,24,12.5,2
"Smith College Studies in Social Work","2004","1",11,20,55,4
"Smith College Studies in Social Work","2004","2",5,20,25,4
"Smith College Studies in Social Work","2004","3",3,20,15,4
"Smith College Studies in Social Work","2004","4+",1,20,5,4
"Smith College Studies in Social Work","2005","1",18,19,94.7368421052632,2
"Smith College Studies in Social Work","2005","2",1,19,5.26315789473684,2
"Smith College Studies in Social Work","2006","1",14,15,93.3333333333333,2
"Smith College Studies in Social Work","2006","2",1,15,6.66666666666667,2
"Smith College Studies in Social Work","2007","1",26,28,92.8571428571429,3
"Smith College Studies in Social Work","2007","2",1,28,3.57142857142857,3
"Smith College Studies in Social Work","2007","3",1,28,3.57142857142857,3
"Smith College Studies in Social Work","2008","1",12,18,66.6666666666667,4
"Smith College Studies in Social Work","2008","2",4,18,22.2222222222222,4
"Smith College Studies in Social Work","2008","3",1,18,5.55555555555556,4
"Smith College Studies in Social Work","2008","4+",1,18,5.55555555555556,4
"Smith College Studies in Social Work","2009","1",14,21,66.6666666666667,4
"Smith College Studies in Social Work","2009","2",3,21,14.2857142857143,4
"Smith College Studies in Social Work","2009","3",1,21,4.76190476190476,4
"Smith College Studies in Social Work","2009","4+",3,21,14.2857142857143,4
"Smith College Studies in Social Work","2010","1",17,23,73.9130434782609,3
"Smith College Studies in Social Work","2010","2",3,23,13.0434782608696,3
"Smith College Studies in Social Work","2010","4+",3,23,13.0434782608696,3
"Smith College Studies in Social Work","2011","1",11,16,68.75,3
"Smith College Studies in Social Work","2011","2",3,16,18.75,3
"Smith College Studies in Social Work","2011","3",2,16,12.5,3
"Smith College Studies in Social Work","2012","1",13,19,68.4210526315789,3
"Smith College Studies in Social Work","2012","2",5,19,26.3157894736842,3
"Smith College Studies in Social Work","2012","3",1,19,5.26315789473684,3
"Smith College Studies in Social Work","2013","1",16,23,69.5652173913043,4
"Smith College Studies in Social Work","2013","2",3,23,13.0434782608696,4
"Smith College Studies in Social Work","2013","3",2,23,8.69565217391304,4
"Smith College Studies in Social Work","2013","4+",2,23,8.69565217391304,4
"Social Development Issues","1992","1",8,13,61.5384615384615,3
"Social Development Issues","1992","2",4,13,30.7692307692308,3
"Social Development Issues","1992","3",1,13,7.69230769230769,3
"Social Development Issues","1993","1",7,13,53.8461538461538,3
"Social Development Issues","1993","2",5,13,38.4615384615385,3
"Social Development Issues","1993","3",1,13,7.69230769230769,3
"Social Development Issues","1994","1",11,17,64.7058823529412,2
"Social Development Issues","1994","2",6,17,35.2941176470588,2
"Social Development Issues","1995","1",6,7,85.7142857142857,2
"Social Development Issues","1995","2",1,7,14.2857142857143,2
"Social Development Issues","1997","1",4,10,40,3
"Social Development Issues","1997","2",5,10,50,3
"Social Development Issues","1997","3",1,10,10,3
"Social Development Issues","1998","1",6,12,50,3
"Social Development Issues","1998","2",5,12,41.6666666666667,3
"Social Development Issues","1998","3",1,12,8.33333333333333,3
"Social Development Issues","1999","1",4,9,44.4444444444444,3
"Social Development Issues","1999","2",4,9,44.4444444444444,3
"Social Development Issues","1999","4+",1,9,11.1111111111111,3
"Social Development Issues","2005","1",12,18,66.6666666666667,3
"Social Development Issues","2005","2",5,18,27.7777777777778,3
"Social Development Issues","2005","4+",1,18,5.55555555555556,3
"Social Development Issues","2006","1",10,21,47.6190476190476,2
"Social Development Issues","2006","2",11,21,52.3809523809524,2
"Social Development Issues","2007","1",8,21,38.0952380952381,3
"Social Development Issues","2007","2",12,21,57.1428571428571,3
"Social Development Issues","2007","4+",1,21,4.76190476190476,3
"Social Development Issues","2008","1",10,19,52.6315789473684,4
"Social Development Issues","2008","2",7,19,36.8421052631579,4
"Social Development Issues","2008","3",1,19,5.26315789473684,4
"Social Development Issues","2008","4+",1,19,5.26315789473684,4
"Social Development Issues","2009","1",3,18,16.6666666666667,4
"Social Development Issues","2009","2",5,18,27.7777777777778,4
"Social Development Issues","2009","3",5,18,27.7777777777778,4
"Social Development Issues","2009","4+",5,18,27.7777777777778,4
"Social Development Issues","2010","1",7,23,30.4347826086957,4
"Social Development Issues","2010","2",9,23,39.1304347826087,4
"Social Development Issues","2010","3",3,23,13.0434782608696,4
"Social Development Issues","2010","4+",4,23,17.3913043478261,4
"Social Development Issues","2011","1",12,17,70.5882352941177,3
"Social Development Issues","2011","2",4,17,23.5294117647059,3
"Social Development Issues","2011","3",1,17,5.88235294117647,3
"Social Development Issues","2012","1",5,16,31.25,4
"Social Development Issues","2012","2",5,16,31.25,4
"Social Development Issues","2012","3",4,16,25,4
"Social Development Issues","2012","4+",2,16,12.5,4
"Social Development Issues","2013","1",8,23,34.7826086956522,4
"Social Development Issues","2013","2",6,23,26.0869565217391,4
"Social Development Issues","2013","3",6,23,26.0869565217391,4
"Social Development Issues","2013","4+",3,23,13.0434782608696,4
"Social Service Review","1989","1",21,34,61.7647058823529,3
"Social Service Review","1989","2",9,34,26.4705882352941,3
"Social Service Review","1989","3",4,34,11.7647058823529,3
"Social Service Review","1990","1",26,34,76.4705882352941,3
"Social Service Review","1990","2",7,34,20.5882352941176,3
"Social Service Review","1990","3",1,34,2.94117647058824,3
"Social Service Review","1991","1",22,29,75.8620689655172,3
"Social Service Review","1991","2",5,29,17.2413793103448,3
"Social Service Review","1991","3",2,29,6.89655172413793,3
"Social Service Review","1992","1",20,34,58.8235294117647,3
"Social Service Review","1992","2",10,34,29.4117647058824,3
"Social Service Review","1992","3",4,34,11.7647058823529,3
"Social Service Review","1993","1",18,29,62.0689655172414,3
"Social Service Review","1993","2",8,29,27.5862068965517,3
"Social Service Review","1993","3",3,29,10.3448275862069,3
"Social Service Review","1994","1",19,31,61.2903225806452,3
"Social Service Review","1994","2",8,31,25.8064516129032,3
"Social Service Review","1994","3",4,31,12.9032258064516,3
"Social Service Review","1995","1",23,33,69.6969696969697,3
"Social Service Review","1995","2",7,33,21.2121212121212,3
"Social Service Review","1995","3",3,33,9.09090909090909,3
"Social Service Review","1996","1",22,32,68.75,3
"Social Service Review","1996","2",5,32,15.625,3
"Social Service Review","1996","3",5,32,15.625,3
"Social Service Review","1997","1",14,26,53.8461538461538,3
"Social Service Review","1997","2",9,26,34.6153846153846,3
"Social Service Review","1997","3",3,26,11.5384615384615,3
"Social Service Review","1998","1",14,25,56,3
"Social Service Review","1998","2",5,25,20,3
"Social Service Review","1998","3",6,25,24,3
"Social Service Review","1999","1",12,24,50,4
"Social Service Review","1999","2",8,24,33.3333333333333,4
"Social Service Review","1999","3",3,24,12.5,4
"Social Service Review","1999","4+",1,24,4.16666666666667,4
"Social Service Review","2000","1",14,25,56,3
"Social Service Review","2000","2",6,25,24,3
"Social Service Review","2000","3",5,25,20,3
"Social Service Review","2001","1",11,27,40.7407407407407,3
"Social Service Review","2001","2",8,27,29.6296296296296,3
"Social Service Review","2001","3",8,27,29.6296296296296,3
"Social Service Review","2002","1",14,27,51.8518518518518,4
"Social Service Review","2002","2",4,27,14.8148148148148,4
"Social Service Review","2002","3",5,27,18.5185185185185,4
"Social Service Review","2002","4+",4,27,14.8148148148148,4
"Social Service Review","2003","1",12,26,46.1538461538462,4
"Social Service Review","2003","2",10,26,38.4615384615385,4
"Social Service Review","2003","3",2,26,7.69230769230769,4
"Social Service Review","2003","4+",2,26,7.69230769230769,4
"Social Service Review","2004","1",7,28,25,4
"Social Service Review","2004","2",9,28,32.1428571428571,4
"Social Service Review","2004","3",9,28,32.1428571428571,4
"Social Service Review","2004","4+",3,28,10.7142857142857,4
"Social Service Review","2005","1",11,26,42.3076923076923,4
"Social Service Review","2005","2",10,26,38.4615384615385,4
"Social Service Review","2005","3",4,26,15.3846153846154,4
"Social Service Review","2005","4+",1,26,3.84615384615385,4
"Social Service Review","2006","1",8,23,34.7826086956522,4
"Social Service Review","2006","2",5,23,21.7391304347826,4
"Social Service Review","2006","3",8,23,34.7826086956522,4
"Social Service Review","2006","4+",2,23,8.69565217391304,4
"Social Service Review","2007","1",8,25,32,4
"Social Service Review","2007","2",5,25,20,4
"Social Service Review","2007","3",9,25,36,4
"Social Service Review","2007","4+",3,25,12,4
"Social Service Review","2008","1",11,24,45.8333333333333,4
"Social Service Review","2008","2",7,24,29.1666666666667,4
"Social Service Review","2008","3",4,24,16.6666666666667,4
"Social Service Review","2008","4+",2,24,8.33333333333333,4
"Social Service Review","2009","1",5,22,22.7272727272727,4
"Social Service Review","2009","2",6,22,27.2727272727273,4
"Social Service Review","2009","3",7,22,31.8181818181818,4
"Social Service Review","2009","4+",4,22,18.1818181818182,4
"Social Service Review","2010","1",11,23,47.8260869565217,4
"Social Service Review","2010","2",7,23,30.4347826086957,4
"Social Service Review","2010","3",3,23,13.0434782608696,4
"Social Service Review","2010","4+",2,23,8.69565217391304,4
"Social Service Review","2011","1",6,21,28.5714285714286,4
"Social Service Review","2011","2",7,21,33.3333333333333,4
"Social Service Review","2011","3",4,21,19.047619047619,4
"Social Service Review","2011","4+",4,21,19.047619047619,4
"Social Service Review","2012","1",8,22,36.3636363636364,4
"Social Service Review","2012","2",6,22,27.2727272727273,4
"Social Service Review","2012","3",5,22,22.7272727272727,4
"Social Service Review","2012","4+",3,22,13.6363636363636,4
"Social Service Review","2013","1",9,22,40.9090909090909,4
"Social Service Review","2013","2",9,22,40.9090909090909,4
"Social Service Review","2013","3",3,22,13.6363636363636,4
"Social Service Review","2013","4+",1,22,4.54545454545455,4
"Social Work","1989","1",40,76,52.6315789473684,4
"Social Work","1989","2",27,76,35.5263157894737,4
"Social Work","1989","3",6,76,7.89473684210526,4
"Social Work","1989","4+",3,76,3.94736842105263,4
"Social Work","1990","1",47,71,66.1971830985916,4
"Social Work","1990","2",12,71,16.9014084507042,4
"Social Work","1990","3",7,71,9.85915492957746,4
"Social Work","1990","4+",5,71,7.04225352112676,4
"Social Work","1991","1",45,73,61.6438356164384,4
"Social Work","1991","2",20,73,27.3972602739726,4
"Social Work","1991","3",7,73,9.58904109589041,4
"Social Work","1991","4+",1,73,1.36986301369863,4
"Social Work","1992","1",43,68,63.2352941176471,4
"Social Work","1992","2",19,68,27.9411764705882,4
"Social Work","1992","3",5,68,7.35294117647059,4
"Social Work","1992","4+",1,68,1.47058823529412,4
"Social Work","1993","1",47,86,54.6511627906977,4
"Social Work","1993","2",22,86,25.5813953488372,4
"Social Work","1993","3",13,86,15.1162790697674,4
"Social Work","1993","4+",4,86,4.65116279069767,4
"Social Work","1994","1",62,95,65.2631578947368,3
"Social Work","1994","2",23,95,24.2105263157895,3
"Social Work","1994","3",10,95,10.5263157894737,3
"Social Work","1995","1",44,91,48.3516483516484,4
"Social Work","1995","2",26,91,28.5714285714286,4
"Social Work","1995","3",12,91,13.1868131868132,4
"Social Work","1995","4+",9,91,9.89010989010989,4
"Social Work","1996","1",35,65,53.8461538461538,4
"Social Work","1996","2",17,65,26.1538461538462,4
"Social Work","1996","3",8,65,12.3076923076923,4
"Social Work","1996","4+",5,65,7.69230769230769,4
"Social Work","1997","1",19,57,33.3333333333333,4
"Social Work","1997","2",27,57,47.3684210526316,4
"Social Work","1997","3",10,57,17.5438596491228,4
"Social Work","1997","4+",1,57,1.75438596491228,4
"Social Work","1998","1",32,56,57.1428571428571,4
"Social Work","1998","2",13,56,23.2142857142857,4
"Social Work","1998","3",5,56,8.92857142857143,4
"Social Work","1998","4+",6,56,10.7142857142857,4
"Social Work","1999","1",26,56,46.4285714285714,4
"Social Work","1999","2",19,56,33.9285714285714,4
"Social Work","1999","3",6,56,10.7142857142857,4
"Social Work","1999","4+",5,56,8.92857142857143,4
"Social Work","2000","1",28,47,59.5744680851064,4
"Social Work","2000","2",9,47,19.1489361702128,4
"Social Work","2000","3",3,47,6.38297872340426,4
"Social Work","2000","4+",7,47,14.8936170212766,4
"Social Work","2001","1",15,32,46.875,4
"Social Work","2001","2",12,32,37.5,4
"Social Work","2001","3",3,32,9.375,4
"Social Work","2001","4+",2,32,6.25,4
"Social Work","2002","1",19,45,42.2222222222222,4
"Social Work","2002","2",14,45,31.1111111111111,4
"Social Work","2002","3",6,45,13.3333333333333,4
"Social Work","2002","4+",6,45,13.3333333333333,4
"Social Work","2003","1",33,54,61.1111111111111,4
"Social Work","2003","2",13,54,24.0740740740741,4
"Social Work","2003","3",7,54,12.962962962963,4
"Social Work","2003","4+",1,54,1.85185185185185,4
"Social Work","2004","1",32,64,50,4
"Social Work","2004","2",20,64,31.25,4
"Social Work","2004","3",8,64,12.5,4
"Social Work","2004","4+",4,64,6.25,4
"Social Work","2005","1",18,36,50,4
"Social Work","2005","2",11,36,30.5555555555556,4
"Social Work","2005","3",5,36,13.8888888888889,4
"Social Work","2005","4+",2,36,5.55555555555556,4
"Social Work","2006","1",17,37,45.945945945946,4
"Social Work","2006","2",10,37,27.027027027027,4
"Social Work","2006","3",4,37,10.8108108108108,4
"Social Work","2006","4+",6,37,16.2162162162162,4
"Social Work","2007","1",24,38,63.1578947368421,4
"Social Work","2007","2",5,38,13.1578947368421,4
"Social Work","2007","3",5,38,13.1578947368421,4
"Social Work","2007","4+",4,38,10.5263157894737,4
"Social Work","2008","1",23,40,57.5,4
"Social Work","2008","2",7,40,17.5,4
"Social Work","2008","3",8,40,20,4
"Social Work","2008","4+",2,40,5,4
"Social Work","2009","1",20,42,47.6190476190476,4
"Social Work","2009","2",8,42,19.047619047619,4
"Social Work","2009","3",10,42,23.8095238095238,4
"Social Work","2009","4+",4,42,9.52380952380952,4
"Social Work","2010","1",13,35,37.1428571428571,4
"Social Work","2010","2",9,35,25.7142857142857,4
"Social Work","2010","3",9,35,25.7142857142857,4
"Social Work","2010","4+",4,35,11.4285714285714,4
"Social Work","2011","1",14,36,38.8888888888889,4
"Social Work","2011","2",14,36,38.8888888888889,4
"Social Work","2011","3",5,36,13.8888888888889,4
"Social Work","2011","4+",3,36,8.33333333333333,4
"Social Work","2012","1",15,35,42.8571428571429,4
"Social Work","2012","2",10,35,28.5714285714286,4
"Social Work","2012","3",8,35,22.8571428571429,4
"Social Work","2012","4+",2,35,5.71428571428571,4
"Social Work","2013","1",14,38,36.8421052631579,4
"Social Work","2013","2",12,38,31.5789473684211,4
"Social Work","2013","3",9,38,23.6842105263158,4
"Social Work","2013","4+",3,38,7.89473684210526,4
"Social Work & Christianity","1999","1",4,5,80,2
"Social Work & Christianity","1999","2",1,5,20,2
"Social Work & Christianity","2000","1",7,19,36.8421052631579,2
"Social Work & Christianity","2000","2",12,19,63.1578947368421,2
"Social Work & Christianity","2001","1",4,18,22.2222222222222,3
"Social Work & Christianity","2001","2",13,18,72.2222222222222,3
"Social Work & Christianity","2001","3",1,18,5.55555555555556,3
